ghci> type ghc-prim-0.10.0	GHC.Prim.RealWorld	*
	GHC.ST.runST	(forall s. GHC.ST.ST s a) -> a
	GHC.IO.unsafeIOToST	IO a -> GHC.ST.ST s a
	GHC.ST.unsafeInterleaveST	GHC.ST.ST s a -> GHC.ST.ST s a
	GHC.IO.unsafeSTToIO	GHC.ST.ST s a -> IO a
	Control.Monad.Zip.mzip	m a -> m b -> m (a, b)
	Control.Monad.Zip.mzipWith	(a -> b -> c) -> m a -> m b -> m c
	Control.Monad.Zip.munzip	m (a, b) -> (m a, m b)
	Data.Bifoldable.bifold	Monoid m => p m m -> m
	Data.Bifoldable.bifoldMap	Monoid m =>
	Data.Bifoldable.bifoldr	(a -> c -> c)
	Data.Bifoldable.bifoldl	(c -> a -> c)
	Data.Bifoldable1.bifold1	Semigroup m => t m m -> m
	Data.Bifoldable1.bifoldMap1	Semigroup m =>
	Data.Bifunctor.bimap	(a -> b) -> (c -> d) -> p a c -> p b d
	Data.Bifunctor.first	(a -> b) -> p a c -> p b c
	Data.Bifunctor.second	(b -> c) -> p a b -> p a c
	Data.Bitraversable.bitraverse	Applicative f =>
	(Data.Bits.!>>.)	GHC.Bits.Bits a => a -> Int -> a
	(Data.Bits..<<.)	GHC.Bits.Bits a => a -> Int -> a
	(Data.Bits..>>.)	GHC.Bits.Bits a => a -> Int -> a
	(Data.Bits..^.)	GHC.Bits.Bits a => a -> a -> a
	Data.Bits.oneBits	GHC.Bits.FiniteBits a => a
	(GHC.Bits..&.)	a -> a -> a
	(GHC.Bits..|.)	a -> a -> a
	GHC.Bits.xor	a -> a -> a
	GHC.Bits.complement	a -> a
	GHC.Bits.shift	a -> Int -> a
	GHC.Bits.rotate	a -> Int -> a
	GHC.Bits.zeroBits	a
	GHC.Bits.bit	Int -> a
	GHC.Bits.setBit	a -> Int -> a
	GHC.Bits.clearBit	a -> Int -> a
	GHC.Bits.complementBit	a -> Int -> a
	GHC.Bits.testBit	a -> Int -> Bool
	GHC.Bits.bitSizeMaybe	a -> Maybe Int
	GHC.Bits.bitSize	a -> Int
	GHC.Bits.isSigned	a -> Bool
	GHC.Bits.shiftL	a -> Int -> a
	GHC.Bits.unsafeShiftL	a -> Int -> a
	GHC.Bits.shiftR	a -> Int -> a
	GHC.Bits.unsafeShiftR	a -> Int -> a
	GHC.Bits.rotateL	a -> Int -> a
	GHC.Bits.rotateR	a -> Int -> a
	GHC.Bits.popCount	a -> Int
	GHC.Bits.finiteBitSize	b -> Int
	GHC.Bits.countLeadingZeros	b -> Int
	GHC.Bits.countTrailingZeros	b -> Int
	GHC.Bits.bitDefault	(GHC.Bits.Bits a, Num a) => Int -> a
	GHC.Bits.popCountDefault	(GHC.Bits.Bits a, Num a) => a -> Int
	(&&)	Bool -> Bool -> Bool
	not	Bool -> Bool
	otherwise	Bool
	(||)	Bool -> Bool -> Bool
	Data.Char.isLetter	Char -> Bool
	Data.Char.isMark	Char -> Bool
	Data.Char.isNumber	Char -> Bool
	Data.Char.isSeparator	Char -> Bool
	GHC.Char.chr	Int -> Char
	GHC.Unicode.generalCategory	Char -> GHC.Unicode.GeneralCategory
	GHC.Show.intToDigit	Int -> Char
	GHC.Unicode.isAlpha	Char -> Bool
	GHC.Unicode.isAlphaNum	Char -> Bool
	GHC.Unicode.isAscii	Char -> Bool
	GHC.Unicode.isAsciiLower	Char -> Bool
	GHC.Unicode.isAsciiUpper	Char -> Bool
	GHC.Unicode.isControl	Char -> Bool
	GHC.Unicode.isDigit	Char -> Bool
	GHC.Unicode.isHexDigit	Char -> Bool
	GHC.Unicode.isLatin1	Char -> Bool
	GHC.Unicode.isLower	Char -> Bool
	GHC.Unicode.isLowerCase	Char -> Bool
	GHC.Unicode.isOctDigit	Char -> Bool
	GHC.Unicode.isPrint	Char -> Bool
	GHC.Unicode.isPunctuation	Char -> Bool
	GHC.Unicode.isSpace	Char -> Bool
	GHC.Unicode.isSymbol	Char -> Bool
	GHC.Unicode.isUpper	Char -> Bool
	GHC.Unicode.isUpperCase	Char -> Bool
	GHC.Read.lexLitChar	ReadS String
	GHC.Base.ord	Char -> Int
