operator23	[Token] -> Maybe (BinOp,[Token])
operator24	[Char]
operator26	[Token] -> Maybe (BinOp,[Token])
operator27	[Char]
operator29	[Token] -> Maybe (BinOp,[Token])
operator3	[Parser BinOp]
operator30	[Char]
operator32	[Token] -> Maybe (BinOp,[Token])
operator33	[Char]
operator35	[Token] -> Maybe (BinOp,[Token])
operator36	[Char]
operator38	[Token] -> Maybe (BinOp,[Token])
operator39	[Char]
operator4	[Parser BinOp]
operator41	[Token] -> Maybe (BinOp,[Token])
operator42	[Char]
operator44	[Token] -> Maybe (BinOp,[Token])
operator45	[Char]
operator47	[Token] -> Maybe (BinOp,[Token])
operator48	[Char]
operator5	[Parser BinOp]
operator6	[Parser BinOp]
operator7	[Parser BinOp]
operator8	[Parser BinOp]
operator9	[Parser BinOp]
operatorEdName	Parser Name
operatorEdName1	[Token] -> Maybe (Name,[Token])
operatorEdName2	[Token] -> Maybe (Name,[Token])
operatorEdName3	[Char]
operatorI	Parser String
operatorI1	[Token] -> Maybe (String,[Token])
operatorI10	[String]
operatorI11	[Char]
operatorI13	[Char]
operatorI15	[Char]
operatorI17	[Char]
operatorI19	[Char]
operatorI2	[String]
operatorI21	[Char]
operatorI23	[Char]
operatorI25	[Char]
operatorI27	[Char]
operatorI29	[Char]
operatorI3	[String]
operatorI31	Eq String
operatorI4	[String]
operatorI5	[String]
operatorI6	[String]
operatorI7	[String]
operatorI8	[String]
operatorI9	[String]
operatorIAsName	Parser Name
operatorIAsName1	[Token] -> Maybe (Name,[Token])
operatorI_allowed	[String]
parens	Parser a -> Parser a
parensOpt	Parser a -> Parser a
parensOpt1	Parser a -> [Token] -> Maybe (a,[Token])
parseBinOp	String -> Maybe BinOp
qualifiedIdent	Parser String
qualifiedIdent1	[Token] -> Maybe (String,[Token])
qualifiedIdent3	[Token] -> Maybe (Token,[Token])
qualifiedIdent4	[Char]
qualifiedIdent_t	Token
qualifiedIdent_xs	[Char]
satisfyToken	(Token -> Maybe a) -> Parser a
satisfyToken1	(Token -> Maybe a) -> [Token] -> Maybe (a,[Token])
skipNL	Parser ()
skipNL1	[Token] -> Maybe ((),[Token])
skipNL2	[Token] -> Maybe ((),[Token])
skipNewlines	Parser ()
skipNewlines1	[Token] -> Maybe ((),[Token])
skipNewlines2	[Token] -> Maybe ((),[Token])
skipSeparators	Parser ()
skipSeparators1	[Token] -> Maybe ((),[Token])
skipSeparators2	[Token] -> Maybe ((),[Token])
skipVB	Parser ()
skipVB1	[Token] -> Maybe ((),[Token])
skipVB2	[Token] -> Maybe ((),[Token])
skipVNL	Parser ()
skipVNL1	[Token] -> Maybe ((),[Token])
skipVNL2	[Token] -> Maybe ((),[Token])
stringLiteralExpr	Parser String
stringLiteralExpr1	[Token] -> Maybe (String,[Token])
symbol	String -> Parser ()
symbolToken	Token -> Parser Token
symbolToken1	Token -> [Token] -> Maybe (Token,[Token])
tokenIs	(Token -> Maybe a) -> Parser a
tokenIs1	(Token -> Maybe a) -> [Token] -> Maybe (a,[Token])
typeIdent	Parser String
caseExprCore	Parser Expr -> Parser Expr
lambdaCaseExpr	Parser Expr -> Parser Expr
lambdaCaseExpr1	Parser Expr -> [Token] -> Maybe (CaseAlt,[Token])
doExprCore	Parser Expr -> Parser Expr
appExprCore	Parser Expr
appExprCore1	[Token] -> Maybe (Expr,[Token])
appExprCore2	[Token] -> Maybe (Expr,[Token])
appExprCore3	[Token] -> Maybe (Expr,[Token])
appExprCore4	[Token] -> Maybe (Expr,[Token])
appExprCore5	[Token] -> Maybe (Expr,[Token])
appExprCore6	[Token] -> Maybe (Expr,[Token])
appExprCore_p1	Parser Expr
atomBaseCore	Parser Expr
atomCore	Parser Expr
exprCore	Parser Expr
oPsectionCore	Parser Expr
oPsectionCore1	[Token] -> Maybe (Expr,[Token])
opAssoc	BinOpInfo -> Assoc RecSel Left BinOpInfo
opConstructor	BinOpInfo -> BinOp RecSel Left BinOpInfo
opPrecedence	BinOpInfo -> Int RecSel Left BinOpInfo
opSymbol	BinOpInfo -> String RecSel Left BinOpInfo
pRecordExpr	Parser Expr
pRecordExpr1	[Token] -> Maybe (Expr,[Token])
pRecordExpr2	[Token] -> Maybe (Expr,[Token])
pRecordExpr3	[Token] -> Maybe ((),[Token])
pRecordExpr4	[Char]
pRecordExpr6	[Token] -> Maybe ((String, Expr),[Token])
pRecordExpr7	[Char]
parenExprCore	Parser Expr
tupleExprCore	Parser Expr
expr	Parser Expr
expr1	[Token] -> Maybe (Expr,[Token])
exprNoLoop	Parser Expr
exprNoLoop1	[Token] -> Maybe (Expr,[Token])
exprTop	Parser Expr
exprTop1	[Token] -> Maybe (Expr,[Token])
exprTop10	[Char]
exprTop12	[Char]
exprTop14	[Char]
exprTop16	[Token] -> Maybe ((),[Token])
exprTop17	[Token] -> Maybe ((),[Token])
exprTop18	[Char]
exprTop2	CallStack
exprTop3	SrcLoc
exprTop4	Int
exprTop5	Int
exprTop6	Int
exprTop7	Int
exprTop8	[Char]
forExpr	Parser Expr
forExpr1	[Token] -> Maybe (Expr,[Token])
forExpr2	[Token] -> Maybe ((),[Token])
forExpr3	[Char]
forExpr5	[Token] -> Maybe (Qualifier,[Token])
forExpr_kw	String
ifExpr	Parser Expr
ifExpr1	[Token] -> Maybe (Expr,[Token])
