testNestedFieldAccess13	Ord String
testNestedFieldAccess14	Pattern
testNestedFieldAccess15	[Char]
testNestedFieldAccess17	[Char]
testNestedFieldAccess2	Expr
testNestedFieldAccess3	[Char]
testNestedFieldAccess5	Expr
testNestedFieldAccess6	[Char]
testNestedFieldAccess8	Expr
testNestedFieldAccess9	[Char]
testSectionL	Expr
testSectionL1	Expr
testSectionL2	Int
testSectionR	Expr
testSectionR1	Expr
testSectionR2	Int
testTuple	Expr
testTuple1	Expr
testTuple10	Expr
testTuple11	[Char]
testTuple13	Expr
testTuple14	[Char]
testTuple16	[Pattern]
testTuple17	Pattern
testTuple18	[Char]
testTuple2	Expr
testTuple20	[Pattern]
testTuple21	Pattern
testTuple22	[Char]
testTuple3	Expr
testTuple4	Int
testTuple5	Expr
testTuple6	Expr
testTuple7	Expr
testTuple8	[Expr]
testTuple9	[Expr]
testWhere	Expr
testWhere1	[Binding]
testWhere10	Expr
testWhere11	Int
testWhere12	Pattern
testWhere13	[Char]
testWhere15	Expr
testWhere16	Expr
testWhere17	[Char]
testWhere19	Expr
testWhere2	[Binding]
testWhere20	[Char]
testWhere3	(Pattern, Expr)
testWhere4	Expr
testWhere5	Int
testWhere6	Pattern
testWhere7	[Char]
testWhere9	(Pattern, Expr)
printTypeBinding	(String, Scheme) -> IO ()
processFile	FilePath -> IO ()
buildTypeDB	[TypeDBJson] -> TypeDB
extractTypeSigs	[String] -> [String]
extractTypeSigs1	[Char] -> Maybe[Char]
loadTypeDBFromJson	FilePath -> IO TypeDB
mergeTypeLines	[String] -> [String]
mergeTypeLines_go	[String] -> [[Char]] -> [[Char]] -> [String]
instances	TypeDBJson -> [String]RecSel Left TypeDBJson
module_	TypeDBJson -> Maybe String RecSel Left TypeDBJson
types	TypeDBJson -> [String]RecSel Left TypeDBJson
parseArrowType	Parsec String () Type
parseArrowType1	State[Char]() -> (Type -> State[Char]() -> ParseError -> Identity b) -> (ParseError -> Identity b) -> (Type -> State[Char]() -> ParseError -> Identity b) -> (ParseError -> Identity b) -> Identity b
parseAtomicType	Parsec String () Type
parseAtomicType1	State String () -> (Type -> State String () -> ParseError -> Identity b) -> (ParseError -> Identity b) -> (Type -> State String () -> ParseError -> Identity b) -> (ParseError -> Identity b) -> Identity b
parseTypeExpr	Parsec String () Type
parseTypeExpr1	State[Char]() -> (Type -> State[Char]() -> ParseError -> Identity b) -> (ParseError -> Identity b) -> (Type -> State[Char]() -> ParseError -> Identity b) -> (ParseError -> Identity b) -> Identity b
parseTypeExpr2	State String () -> (() -> State String () -> ParseError -> Identity b) -> (ParseError -> Identity b) -> (() -> State String () -> ParseError -> Identity b) -> (ParseError -> Identity b) -> Identity b
parseTypeExpr3	Stream String Identity Char
parseTypeExpr4	State[Char]() -> (Type -> State[Char]() -> ParseError -> Identity b1) -> (ParseError -> Identity b1) -> (Type -> State[Char]() -> ParseError -> Identity b1) -> (ParseError -> Identity b1) -> Identity b1
parseTypeExpr5	State String () -> (() -> State String () -> ParseError -> Identity b) -> (ParseError -> Identity b) -> (() -> State String () -> ParseError -> Identity b) -> (ParseError -> Identity b) -> Identity b
findMainModule	TypeDB -> Maybe ModuleName
mergeTypes	TypeDBJson -> TypeDBJson
chunksOf	Int -> [a] -> [[a]]
processFile2	FilePath -> IO ()
test	String -> Maybe[Decl] -> IO ()
expectError	Text -> Bool
runDeclBlock	(Int,[Text]) -> IO (Int, Bool)
runExprTest	(Int,[Text]) -> IO (Int, Bool)
splitBlocks	[Text] -> [[Text]]
splitBlocks1	[Text] -> Bool
splitBlocks10	[Char]
splitBlocks12	[Char]
splitBlocks14	[Char]
splitBlocks2	CallStack
splitBlocks3	SrcLoc
splitBlocks4	Int
splitBlocks5	Int
splitBlocks6	Int
splitBlocks7	Int
splitBlocks8	[Char]
splitBlocks_z	[[Text]]
strip	Text -> Text
